period,zodiac
1,3
2,5
3,5
4,8
5,2
6,7
7,1
8,9
9,12
10,4
11,6
12,10
13,11
14,3
15,5
16,8
17,2
18,7
19,1
20,9
21,12
22,4
23,6
24,10
25,11
26,3
27,5
28,8
29,2
30,7
31,1
32,9
33,12
34,4
35,6
36,10
37,11
38,3
39,5
40,8
41,2
42,7
43,1
44,9
45,12
46,4
47,6
48,10
49,11
50,3
51,5
52,8
53,2
54,7
55,1
56,9
57,12
58,4
59,6
60,10
61,11
62,3
63,5
64,8
65,2
66,7
67,1
68,9
69,12
70,4
71,6
72,10
73,11
74,3
75,5
76,8
77,2
78,7
79,1
80,9
81,12
82,4
83,6
84,10
85,11
86,3
87,5
88,8
89,2
90,7
91,1
92,9
93,12
94,4
95,6
96,10
97,11
98,3
99,5
100,8
